dataset,hypothesis,alpha,run_id,ari
H1-Easy,H1,0.0,0,0.8462012352949783
H1-Easy,H1,0.0,1,0.8421527334780549
H1-Easy,H1,0.0,2,0.8421527334780549
H1-Easy,H1,0.0,3,0.8462772548342792
H1-Easy,H1,0.0,4,0.8421527334780549
H1-Easy,H1,0.0,5,0.8421527334780549
H1-Easy,H1,0.0,6,0.8421527334780549
H1-Easy,H1,0.0,7,0.8378861358009417
H1-Easy,H1,0.0,8,0.8421527334780549
H1-Easy,H1,0.0,9,0.8375261498156403
H1-Easy,H1,0.0,10,0.8421527334780549
H1-Easy,H1,0.0,11,0.8421527334780549
H1-Easy,H1,0.0,12,0.8421527334780549
H1-Easy,H1,0.0,13,0.8421527334780549
H1-Easy,H1,0.0,14,0.8421527334780549
H1-Easy,H1,0.0,15,0.8421527334780549
H1-Easy,H1,0.0,16,0.8421527334780549
H1-Easy,H1,0.0,17,0.8421527334780549
H1-Easy,H1,0.0,18,0.8378861358009417
H1-Easy,H1,0.0,19,0.8421527334780549
H1-Easy,H1,0.0,20,0.8421527334780549
H1-Easy,H1,0.0,21,0.8462772548342792
H1-Easy,H1,0.0,22,0.8421527334780549
H1-Easy,H1,0.0,23,0.8462772548342792
H1-Easy,H1,0.0,24,0.8378861358009417
H1-Easy,H1,0.0,25,0.8421527334780549
H1-Easy,H1,0.0,26,0.8421527334780549
H1-Easy,H1,0.0,27,0.8462012352949783
H1-Easy,H1,0.0,28,0.8421527334780549
H1-Easy,H1,0.0,29,0.8421527334780549
H1-Easy,H1,0.3,0,0.8462012352949783
H1-Easy,H1,0.3,1,0.8375261498156403
H1-Easy,H1,0.3,2,0.8421527334780549
H1-Easy,H1,0.3,3,0.8462772548342792
H1-Easy,H1,0.3,4,0.8421527334780549
H1-Easy,H1,0.3,5,0.8375261498156403
H1-Easy,H1,0.3,6,0.8375261498156403
H1-Easy,H1,0.3,7,0.8375261498156403
H1-Easy,H1,0.3,8,0.8421527334780549
H1-Easy,H1,0.3,9,0.8375261498156403
H1-Easy,H1,0.3,10,0.8421527334780549
H1-Easy,H1,0.3,11,0.8375261498156403
H1-Easy,H1,0.3,12,0.8421527334780549
H1-Easy,H1,0.3,13,0.8421527334780549
