dataset,hypothesis,run_id,method,ari,gamma,n_eval
H1-Easy,H1,0,Default-KP,0.4372553774440158,0.7964861593840558,1
H1-Easy,H1,0,Optuna-TPE,0.8375261498156403,0.001109900164845446,15
H1-Easy,H1,1,Default-KP,0.890073694855765,0.7964861593840558,1
H1-Easy,H1,1,Optuna-TPE,0.8421527334780549,0.0012385194879705667,15
H1-Easy,H1,2,Default-KP,0.890073694855765,0.7964861593840558,1
H1-Easy,H1,2,Optuna-TPE,0.8462772548342792,0.001132184086991723,15
H1-Easy,H1,3,Default-KP,0.8900207517970873,0.7964861593840558,1
H1-Easy,H1,3,Optuna-TPE,0.8421527334780549,0.001301063945606441,15
H1-Easy,H1,4,Default-KP,0.890073694855765,0.7964861593840558,1
H1-Easy,H1,4,Optuna-TPE,0.8462772548342792,0.00119736400326807,15
H1-Easy,H1,5,Default-KP,0.8900207517970873,0.7964861593840558,1
H1-Easy,H1,5,Optuna-TPE,0.8462772548342792,0.0010652549763987852,15
H1-Easy,H1,6,Default-KP,0.8945617792974683,0.7964861593840558,1
H1-Easy,H1,6,Optuna-TPE,0.8421527334780549,0.0010352630599474325,15
H1-Easy,H1,7,Default-KP,0.890073694855765,0.7964861593840558,1
H1-Easy,H1,7,Optuna-TPE,0.8421527334780549,0.0010083231918055905,15
H1-Easy,H1,8,Default-KP,0.8900207517970873,0.7964861593840558,1
H1-Easy,H1,8,Optuna-TPE,0.8421527334780549,0.0017527806142361019,15
H1-Easy,H1,9,Default-KP,0.8945617792974683,0.7964861593840558,1
H1-Easy,H1,9,Optuna-TPE,0.8462772548342792,0.0011663823419403954,15
H1-Easy,H1,10,Default-KP,0.890073694855765,0.7964861593840558,1
H1-Easy,H1,10,Optuna-TPE,0.8462772548342792,0.0010721128593066335,15
H1-Easy,H1,11,Default-KP,0.890073694855765,0.7964861593840558,1
H1-Easy,H1,11,Optuna-TPE,0.8421527334780549,0.0033579802553132744,15
H1-Easy,H1,12,Default-KP,0.8945617792974683,0.7964861593840558,1
H1-Easy,H1,12,Optuna-TPE,0.8421527334780549,0.001213455428886769,15
H1-Easy,H1,13,Default-KP,0.8900207517970873,0.7964861593840558,1
H1-Easy,H1,13,Optuna-TPE,0.8462012352949783,0.0010945811465973142,15
H1-Easy,H1,14,Default-KP,0.8900207517970873,0.7964861593840558,1
H1-Easy,H1,14,Optuna-TPE,0.8421527334780549,0.0012932054403479401,15
H1-Easy,H1,15,Default-KP,0.4272053630989983,0.7964861593840558,1
H1-Easy,H1,15,Optuna-TPE,0.8463584181510433,0.0010021110260348188,15
H1-Easy,H1,16,Default-KP,0.890073694855765,0.7964861593840558,1
H1-Easy,H1,16,Optuna-TPE,0.8421527334780549,0.0010564771133517849,15
H1-Easy,H1,17,Default-KP,0.890073694855765,0.7964861593840558,1
H1-Easy,H1,17,Optuna-TPE,0.8421527334780549,0.001338725724051285,15
H1-Easy,H1,18,Default-KP,0.8900207517970873,0.7964861593840558,1
H1-Easy,H1,18,Optuna-TPE,0.8421527334780549,0.0013940569012769115,15
H1-Easy,H1,19,Default-KP,0.8900207517970873,0.7964861593840558,1
H1-Easy,H1,19,Optuna-TPE,0.8421527334780549,0.0017924445370869602,15
H1-Easy,H1,20,Default-KP,0.890073694855765,0.7964861593840558,1
H1-Easy,H1,20,Optuna-TPE,0.8421527334780549,0.001224827646838121,15
H1-Easy,H1,21,Default-KP,0.8900207517970873,0.7964861593840558,1
H1-Easy,H1,21,Optuna-TPE,0.8378861358009417,0.0010147059820426983,15
H1-Easy,H1,22,Default-KP,0.8945617792974683,0.7964861593840558,1
H1-Easy,H1,22,Optuna-TPE,0.8462772548342792,0.0016249638653278763,15
