dataset,method,mean_ari,std_ari,mean_n_eval,mean_gamma,mean_time,hypothesis,metric,mean_nmi,std_nmi,mean_silhouette,std_silhouette
H1-Easy,Default-KP,0.8451214967685015,0.13780171724703846,1.0,0.7964861593840558,0.16060985724131266,H1,ari,,,,
H1-Easy,Grid-Log,0.9169994901409114,0.004654455952453074,15.0,3.8864720445415353,1.6036969582239786,H1,ari,,,,
H1-Easy,Random,0.9139299544282325,0.00983145545077076,15.0,5.568139023916044,1.6830987691879273,H1,ari,,,,
H1-Easy,DMKPO-Lin,0.8001741751372722,0.12407182463576928,15.0,0.0010000000000000002,1.452258253097534,H1,ari,,,,
H1-Easy,DMKPO-Log,0.9169994901409114,0.004654455952453074,15.0,3.8864720445415353,1.6075445652008056,H1,ari,,,,
H1-Easy,Default-KP,,,1.0,0.7964861593840558,0.16060985724131266,H1,nmi,0.8273732856227799,0.08120015428747965,,
H1-Easy,Grid-Log,,,15.0,3.8864720445415353,1.6036969582239786,H1,nmi,0.8882507352946462,0.005361835429542468,,
H1-Easy,Random,,,15.0,5.568139023916044,1.6830987691879273,H1,nmi,0.8839275527590331,0.01153463647397362,,
H1-Easy,DMKPO-Lin,,,15.0,0.0010000000000000002,1.452258253097534,H1,nmi,0.7858139808869683,0.06677067708621105,,
H1-Easy,DMKPO-Log,,,15.0,3.8864720445415353,1.6075445652008056,H1,nmi,0.8882507352946462,0.005361835429542468,,
H1-Easy,Default-KP,,,1.0,0.7964861593840558,0.16060985724131266,H1,silhouette,,,0.3635093676549296,0.023289430638692397
H1-Easy,Grid-Log,,,15.0,3.8864720445415353,1.6036969582239786,H1,silhouette,,,0.35683703910376113,0.008771553802069086
H1-Easy,Random,,,15.0,5.568139023916044,1.6830987691879273,H1,silhouette,,,0.3504073951301213,0.010443997961196154
H1-Easy,DMKPO-Lin,,,15.0,0.0010000000000000002,1.452258253097534,H1,silhouette,,,0.36702910172128783,0.02259905188527217
H1-Easy,DMKPO-Log,,,15.0,3.8864720445415353,1.6075445652008056,H1,silhouette,,,0.35683703910376113,0.008771553802069086
H1-Medium,Default-KP,0.9003859761995989,0.17838412555510572,1.0,1.0485656336434175,0.12949965794881185,H1,ari,,,,
H1-Medium,Grid-Log,0.9744175281805236,0.001818381233695345,15.0,0.47729947669291145,1.602554980913798,H1,ari,,,,
H1-Medium,Random,0.9734446140866628,0.0032004749486000293,15.0,0.6511357392314917,1.5935653527577718,H1,ari,,,,
H1-Medium,DMKPO-Lin,0.8960146076838413,0.17715901054817554,15.0,0.0010000000000000002,1.6344502846399942,H1,ari,,,,
H1-Medium,DMKPO-Log,0.9744175281805236,0.001818381233695345,15.0,0.47729947669291145,1.5997406641642253,H1,ari,,,,
H1-Medium,Default-KP,,,1.0,1.0485656336434175,0.12949965794881185,H1,nmi,0.9120526846744076,0.10504524000679516,,
H1-Medium,Grid-Log,,,15.0,0.47729947669291145,1.602554980913798,H1,nmi,0.9594302063643525,0.0027655837338060405,,
H1-Medium,Random,,,15.0,0.6511357392314917,1.5935653527577718,H1,nmi,0.958347678439051,0.0037832801721667253,,
H1-Medium,DMKPO-Lin,,,15.0,0.0010000000000000002,1.6344502846399942,H1,nmi,0.9081373598460446,0.10537027879447934,,
H1-Medium,DMKPO-Log,,,15.0,0.47729947669291145,1.5997406641642253,H1,nmi,0.9594302063643525,0.0027655837338060405,,
