dataset,gamma,log10_gamma,cost_mean,cost_std,ari_mean,ari_std
Abalone,0.001,-3.0,7026.450998810462,0.15385434440577228,0.15618350567655412,0.0010848778912452006
Abalone,0.0014251026703029977,-2.8461538461538463,7027.313319577173,0.14854056102558388,0.15618350567655412,0.0010848778912452006
Abalone,0.002030917620904735,-2.6923076923076925,7028.5050465599,0.17813651870073954,0.1576585952736012,0.00039021170580190445
Abalone,0.0028942661247167516,-2.5384615384615383,7030.116676148507,0.046665478089835226,0.15657371738235604,0.001475089597047105
Abalone,0.004124626382901352,-2.3846153846153846,8968.60841571329,1935.93390879973,0.17636233092333298,0.021263703138024045
Abalone,0.0058780160722749115,-2.230769230769231,7036.438933556553,1.8189894035458565e-12,0.15726838356779932,0.0
Abalone,0.008376776400682925,-2.0769230769230766,7041.3531450998435,2.3187656159247056e-12,0.15509862778530892,0.0
Abalone,0.01193776641714437,-1.923076923076923,7048.641710971153,0.0205852477024564,0.15653075471615674,0.0014321269308478074
Abalone,0.017012542798525893,-1.7692307692307692,7058.883375091622,1.4380373887290168e-12,0.1578621786266112,0.0
Abalone,0.024244620170823284,-1.6153846153846154,7073.732380705207,9.094947017729282e-13,0.15542963308440194,0.0
Abalone,0.0345510729459222,-1.4615384615384615,7094.188436278326,6.431098710768743e-13,0.1578621786266112,0.0
Abalone,0.04923882631706741,-1.3076923076923075,7124.2202798047,0.46539599026027645,0.15669515154801528,0.0011670270785959225
Abalone,0.07017038286703829,-1.1538461538461537,9100.313893862654,1934.4429807239248,0.1781071934666912,0.019670719150167604
Abalone,0.1,-1.0,7228.034431472286,1.4380373887290168e-12,0.15632395849476924,0.0
Abalone,0.14251026703029993,-0.8461538461538458,7311.281253701174,1.4380373887290168e-12,0.15865715292941523,0.0
Abalone,0.2030917620904737,-0.6923076923076921,7434.001396915019,3.2155493553843714e-12,0.15968767625873356,0.0
Abalone,0.28942661247167517,-0.5384615384615383,7606.210639356033,6.431098710768743e-13,0.15980706762823302,0.0
Abalone,0.41246263829013524,-0.3846153846153846,7850.99706490512,0.0746169995454693,0.16026472028097877,0.0002859274343886553
Abalone,0.5878016072274912,-0.23076923076923084,8196.618878666904,2.977206826381007,0.16243336141801307,0.00038340663943813025
Abalone,0.8376776400682924,-0.07692307692307668,8692.146217239631,1.2862197421537486e-12,0.16432417513836836,0.0
Abalone,1.1937766417144369,0.07692307692307705,9388.761897673181,1.8189894035458565e-12,0.16716998755730758,0.0
Abalone,1.7012542798525891,0.23076923076923084,10385.993170454505,22.520635477556425,0.1725559228473661,0.0004274130649873781
Abalone,2.424462017082331,0.384615384615385,11716.371518072003,0.019133484961457725,0.17778055255705058,0.000756540211236556
Abalone,3.4551072945922217,0.5384615384615388,13352.401352095396,265.651358371043,0.17933953887289794,0.0009987518518584232
Abalone,4.923882631706742,0.6923076923076925,15076.819406029974,0.005177000142793986,0.1796190765220278,0.00015449735967358602
Abalone,7.01703828670383,0.8461538461538463,16750.91838523526,0.0,0.1694446931798021,0.0
Abalone,10.0,1.0,18095.536207099547,2.5724394843074972e-12,0.16266693916484484,0.0
Abalone,14.251026703029993,1.1538461538461542,19315.244779865236,0.0,0.15567962238591534,0.0
Abalone,20.30917620904739,1.3076923076923084,20203.58436599321,0.0,0.14635445112084777,0.0
Abalone,28.942661247167518,1.4615384615384617,20435.76283621684,2.5724394843074972e-12,0.1286159059635139,0.0
Abalone,41.246263829013564,1.6153846153846159,20448.47198461718,0.0,0.1270150599354448,0.0
Abalone,58.780160722749116,1.7692307692307692,20448.47198461718,0.0,0.1270150599354448,0.0
Abalone,83.76776400682924,1.9230769230769234,20448.47198461718,0.0,0.1270150599354448,0.0
Abalone,119.37766417144383,2.0769230769230775,20448.47198461718,0.0,0.1270150599354448,0.0
Abalone,170.1254279852589,2.230769230769231,20448.47198461718,0.0,0.1270150599354448,0.0
Abalone,242.44620170823308,2.384615384615385,20448.47198461718,0.0,0.1270150599354448,0.0
Abalone,345.5107294592218,2.5384615384615383,20448.47198461718,0.0,0.1270150599354448,0.0
Abalone,492.3882631706742,2.6923076923076925,20448.47198461718,0.0,0.1270150599354448,0.0
Abalone,701.7038286703837,2.8461538461538467,20448.47198461718,0.0,0.1270150599354448,0.0
Abalone,1000.0,3.0,20448.47198461718,0.0,0.1270150599354448,0.0
