dataset,gamma,log10_gamma,cost_mean,cost_std,ari_mean,ari_std
Heart Disease,0.001,-3.0,1391.7280442695533,0.2991175670119746,0.23669373964012727,0.0031869862592142873
Heart Disease,0.0011497569953977356,-2.9393939393939394,1391.6404853885724,0.29044825656088774,0.2367026805117809,0.005209863450791845
Heart Disease,0.0013219411484660286,-2.878787878787879,1392.014913702256,0.40398980764336656,0.23157386988185177,0.0062624366765489095
Heart Disease,0.0015199110829529332,-2.8181818181818183,1391.9917526766196,0.3685788155403875,0.23929213455623577,0.0041262956290436656
Heart Disease,0.001747528400007683,-2.757575757575758,1391.9003513252678,0.11574310297729061,0.23541693496589627,0.006598983108220172
Heart Disease,0.002009233002565048,-2.696969696969697,1392.3996855369655,0.33685864334281396,0.2277552344290526,0.0074564101761631025
Heart Disease,0.0023101297000831605,-2.6363636363636362,1392.5984223128094,0.39311207977363827,0.23156140744458575,0.006259970923430892
Heart Disease,0.0026560877829466868,-2.5757575757575757,1392.7660665625283,0.27618638924054334,0.23415484901389724,0.007460098578429559
Heart Disease,0.0030538555088334154,-2.515151515151515,1393.164838765367,0.34014280331033153,0.23286294489640746,0.007009610262595632
Heart Disease,0.003511191734215131,-2.4545454545454546,1393.425945899387,0.238929162987395,0.23411295569989282,0.002583424539016671
Heart Disease,0.004037017258596553,-2.393939393939394,1394.1101653711005,0.21965855534641704,0.2341229028138409,0.0025822811232983777
Heart Disease,0.004641588833612782,-2.333333333333333,1394.3334873720437,0.3254295904818218,0.23028472458713067,0.006518494829815182
Heart Disease,0.005336699231206312,-2.2727272727272725,1394.705815495445,0.13420180969591639,0.2367738989151194,0.009633925201623171
Heart Disease,0.006135907273413176,-2.212121212121212,1395.1610247349288,0.04226441701211737,0.23154122176191477,0.006247924343883872
Heart Disease,0.007054802310718645,-2.1515151515151514,1396.0181273747005,0.27630257019652843,0.23416869896874992,0.008524740066930808
Heart Disease,0.008111308307896872,-2.090909090909091,1397.0158697098843,0.31120938574203777,0.22775051604115806,0.007448167868672555
Heart Disease,0.0093260334688322,-2.0303030303030303,1397.6457375469133,0.13270571507864318,0.23542933406077635,0.006595936650290792
Heart Disease,0.010722672220103232,-1.9696969696969697,1398.923929943426,0.36069402869095457,0.23153720185851662,0.0025420030024669196
Heart Disease,0.012328467394420659,-1.9090909090909092,1399.9005864032329,0.08743988079604371,0.23155170167411754,0.006250029104991808
Heart Disease,0.014174741629268055,-1.8484848484848484,1401.5131217694484,0.4004509460575975,0.23280356864837626,2.7130400801977873e-05
Heart Disease,0.016297508346206444,-1.7878787878787878,1402.948215322156,0.3175453751268132,0.23930951558133864,0.005819827152762448
Heart Disease,0.01873817422860384,-1.7272727272727273,1405.0847071856667,0.3888181728808103,0.232855434036135,0.007015309273973148
Heart Disease,0.021544346900318846,-1.6666666666666665,1406.8816382469572,0.1524581802151355,0.2380423502935666,0.008661054223397292
Heart Disease,0.024770763559917114,-1.606060606060606,1409.5201785087838,0.4174221693099115,0.23282468588652178,0.004082788437305326
