dataset,role,baseline,mean_ari_baseline,std_ari_baseline,mean_ari_dmkpo_log,std_ari_dmkpo_log,wilcoxon_stat,p_value,cliff_delta,significant
Heart Disease,balanced,Default-KP,0.2757694614747816,0.00556312426466217,0.23409762587935318,0.0026013236520825134,0.0,1.0,-1.0,False
Heart Disease,balanced,Grid-Log,0.23410868244944338,0.0038632164716151233,0.23409762587935318,0.0026013236520825134,22.0,0.5236174890046236,-0.03,False
Heart Disease,balanced,Random,0.23542347307985656,0.005919621229930934,0.23409762587935318,0.0026013236520825134,15.0,0.8128703403598878,-0.17,False
Heart Disease,balanced,DMKPO-Lin,0.23415223717231357,0.007497488221067325,0.23409762587935318,0.0026013236520825134,18.0,0.8388671875,-0.04,False
Credit Approval,categorical_dominant,Default-KP,0.12626771668678297,0.01215075573580925,0.07630968024210667,0.002215760362743309,0.0,1.0,-1.0,False
Credit Approval,categorical_dominant,Grid-Log,0.07819630063355267,0.0,0.07630968024210667,0.002215760362743309,0.0,0.9803202455558752,-0.5,False
Credit Approval,categorical_dominant,Random,0.07751099993087938,0.0013706014053465666,0.07630968024210667,0.002215760362743309,1.0,0.9608759067834521,-0.32,False
Credit Approval,categorical_dominant,DMKPO-Lin,0.07664276900304072,0.002090881996211165,0.07630968024210667,0.002215760362743309,6.0,0.6577650894874223,-0.09,False
Adult,scale_heterogeneous,Default-KP,0.07743324598101438,0.04386561257300667,0.07307131433909787,0.003920498361511342,36.0,0.2158203125,0.6,False
Adult,scale_heterogeneous,Grid-Log,0.0642040784631052,0.013152967285300066,0.07307131433909787,0.003920498361511342,41.0,0.01413151658251443,0.31,True
Adult,scale_heterogeneous,Random,0.06993729595515766,0.008951062757414368,0.07307131433909787,0.003920498361511342,29.0,0.22063406666446483,0.29,False
Adult,scale_heterogeneous,DMKPO-Lin,0.07056667390509672,0.009031180043092765,0.07307131433909787,0.003920498361511342,26.0,0.3389342220534186,0.11,False
Bank Marketing,noisy_sensitive,Default-KP,0.057270290651340504,0.052749471028739656,0.08981833831217126,0.0322925818699917,48.0,0.0185546875,0.76,True
Bank Marketing,noisy_sensitive,Grid-Log,0.10080694355239647,1.3877787807814457e-17,0.08981833831217126,0.0322925818699917,0.0,0.9101437525605001,-0.2,False
Bank Marketing,noisy_sensitive,Random,0.10060326028793636,0.0006110497933804083,0.08981833831217126,0.0322925818699917,1.5,0.7928919108787374,-0.11,False
Bank Marketing,noisy_sensitive,DMKPO-Lin,0.07772208553306295,0.037015503799639415,0.08981833831217126,0.0322925818699917,14.5,0.19953759827411854,0.21,False
